season,player_id,player_name,nationality,batting_type,bowling_type,matches,total_runs,total_balls_faced,total_wickets,total_overs,total_runs_conceded,total_mvp,mvp_std,batting_avg,true_strike_rate,bowling_avg,economy,consistency_score,cluster_label,pca_1,pca_2
2020/21,391,Morne Morkel,South Africa,Left-hand bat,Right-arm Fast,6,4,11,5,21.0,176,90.0714,20.045318896440637,0.6666666666666666,36.36363636363637,35.2,8.380952380952381,4.988695890378506,0,-1.4948294166238623,0.1212267037441885
2020/21,466,Peter Siddle,Australia,Right-hand bat,Right-arm medium-fast,13,0,3,19,42.8,323,404.4690032968434,35.41882551515756,0.0,0.0,17.0,7.546728971962617,2.82335731198102,0,-2.108063031118801,-0.04624385144970483
2020/21,470,Mohammad Amir,Pakistan,Left-hand bat,Left-arm Fast,10,27,28,11,38.1,294,292.890243902439,34.21812482338436,2.7,96.42857142857144,26.727272727272727,7.716535433070866,2.9224278219845905,1,-0.9321795190806176,-0.5102391209223532
2020/21,478,Eoin Morgan,England,Left-hand bat,Right-arm medium,5,71,57,0,0.0,0,115.2812,21.29950008164511,14.2,124.56140350877196,inf,0.0,4.694945872751972,2,1.2201359439241806,0.493908241180458
2020/21,479,Adil Rashid,England,Right-hand bat,Right-arm Leg-Break,8,0,0,6,31.0,218,143.33333333333331,14.85471973524571,0.0,0.0,36.333333333333336,7.032258064516129,6.731867162914596,0,-1.7230130997265891,0.5234036499744545
2020/21,487,Isuru Udana,Sri Lanka,Right-hand bat,Left-arm medium-fast,9,181,80,5,31.6,273,616.9796399535423,81.84025815701436,20.11111111111111,226.25000000000003,54.6,8.639240506329113,1.2218925288352014,4,1.6105311794921104,-1.0568788258486148
2020/21,492,Andre Fletcher,West Indies,Right-hand bat,Right-arm Leg-Break,15,264,189,0,1.0,8,530.782,46.59494952762993,17.6,139.68253968253967,inf,8.0,2.146155345456526,4,0.8439628927012118,-0.24324431706025923
2020/21,494,Kieron Pollard,West Indies,Right-hand bat,Right-arm medium,5,154,81,2,6.2,60,414.99736666666666,82.18062645968872,30.8,190.12345679012347,30.0,9.67741935483871,1.216831804623101,1,1.3389790668502641,-1.6503901959464535
2020/21,496,Lendl Simmons,West Indies,Right-hand bat,Right-arm medium,3,73,52,0,0.0,0,145.8315,9.926016470367149,24.33333333333333,140.3846153846154,inf,0.0,10.07453496561659,2,1.9095538250956843,0.31491050523666625
2020/21,497,Tamim Iqbal,Bangladesh,Left-hand bat,Right-arm offbreak,9,324,281,0,0.0,0,474.8075,34.03330133341623,36.0,115.30249110320284,inf,0.0,2.9382985511844284,2,2.3320860285105685,0.19779357583584517
2020/21,499,Shakib Al Hasan,Bangladesh,Left-hand bat,Slow left-arm orthodox,9,110,91,6,34.0,204,344.8099,26.95789375277881,12.22222222222222,120.87912087912088,34.0,6.0,3.7094886164721994,1,0.08882254645416403,-0.5130099282751385
2020/21,500,Shamsur Rahman Shuvo,Bangladesh,Right-hand bat,Right-arm offbreak,9,162,124,0,0.0,0,264.8055,22.91347164213664,18.0,130.64516129032256,inf,0.0,4.364244823386143,2,1.4833956408589855,0.38988542584717556
2020/21,502,Rubel Hossain,Bangladesh,Right-hand bat,Right-arm medium-fast,11,9,16,11,40.2,281,272.4621699973774,24.63102785926969,0.8181818181818182,56.25,25.545454545454547,6.990049751243781,4.0599198933700125,0,-1.3563688401334684,-0.172233050565762
2020/21,505,Mushfiqur Rahim,Bangladesh,Right-hand bat,Right-arm medium,10,287,256,0,0.0,0,470.0683,36.71760470228749,28.7,112.109375,inf,0.0,2.723489203906867,2,1.9041505684921365,0.32721965548616816
2020/21,506,Mohammad Mithun,Bangladesh,Right-hand bat,Right-arm offbreak,12,176,157,0,0.0,0,280.9399,25.43829016128884,14.666666666666666,112.10191082802548,inf,0.0,3.931081820592516,2,1.1344418750917205,0.5593496799355286
2020/21,507,Mohammad Mahmudullah,Bangladesh,Right-hand bat,Right-arm offbreak,12,306,232,2,7.0,52,585.1888666666666,35.97852945657371,25.5,131.89655172413794,26.0,7.428571428571429,2.779435444150117,1,0.6476840541661906,-1.0975195359607686
2020/21,548,Farhad Reza,Bangladesh,Right-hand bat,Right-arm fast-medium,7,38,18,4,26.0,236,179.13296666666668,29.20013106702392,5.428571428571429,211.11111111111111,59.0,9.076923076923077,3.4246421624090333,4,0.7076657103049722,-0.6190683569308765
2020/21,680,Joe Denly,England,Right-hand bat,Right-arm Leg-Break,12,223,207,0,3.0,23,283.8769,22.67054185038205,18.58333333333333,107.7294685990338,inf,7.666666666666667,4.411010581924611,4,0.6357022847801068,0.015061022616996815
2020/21,691,Samit Patel,England,Right-hand bat,Slow left-arm orthodox,9,188,138,7,26.4,209,467.3672,44.54359302353582,20.88888888888889,136.23188405797103,29.857142857142858,7.916666666666667,2.2449917757456674,1,0.46130547796247084,-1.0032538148196226
2020/21,728,Dawid Malan,England,Left-hand bat,Right-arm Leg-Break,18,586,463,0,0.0,0,998.061,53.8828558659049,32.55555555555556,126.5658747300216,inf,0.0,1.855877874195535,2,2.2467062222485734,0.15755066895539413
2020/21,750,Thisara Perera,Sri Lanka,Left-hand bat,Right-arm medium-fast,11,264,124,5,19.1,173,767.6978523809523,99.99577821636976,24.0,212.9032258064516,34.6,9.057591623036648,1.0000422196187233,1,1.3091778043066586,-1.5490042752588733
2020/21,768,Reeza Hendricks,South Africa,Right-hand bat,Right-arm offbreak,5,127,109,0,0.0,0,200.322,35.7278144204204,25.4,116.51376146788988,inf,0.0,2.798939751065336,2,1.76317334448616,0.3488362544503637
2020/21,772,Rilee Rossouw,South Africa,Left-hand bat,Right-arm offbreak,7,105,77,0,0.0,0,182.9024,33.45756688117197,15.0,136.36363636363637,inf,0.0,2.988860497691312,2,1.3727670681195965,0.37588012258951065
2020/21,786,Chris Jordan,England,Right-hand bat,Right-arm fast-medium,8,26,22,7,30.6,309,172.40569756097565,13.270746036466653,3.25,118.1818181818182,44.142857142857146,10.098039215686274,7.535371389461469,1,-0.6104004667861618,-0.3293576078642918
2020/21,796,Matthew Wade,Australia,Left-hand bat,Right-arm medium,11,349,222,0,0.0,0,675.499,59.83689051668712,31.727272727272727,157.2072072072072,inf,0.0,1.6712098362148735,2,2.477893838597842,-0.03978117883533954
2020/21,813,Jos Buttler,England,Right-hand bat,Right-arm medium,8,268,184,0,0.0,0,507.2008,51.55682784891695,33.5,145.65217391304347,inf,0.0,1.9396073065829769,2,2.470337853187624,0.01544062741214523
2020/21,814,Ben Dunk,Australia,Left-hand bat,Right-arm offbreak,5,69,63,0,0.0,0,138.75310000000002,24.412782509005403,13.8,109.52380952380952,inf,0.0,4.096214758113375,2,1.0635376247197998,0.5924928259149113
2020/21,818,Mitchell Marsh,Australia,Right-hand bat,Right-arm medium-fast,20,382,268,4,11.3,75,833.2382666666667,46.20955863482099,19.1,142.53731343283582,18.75,6.63716814159292,2.1640544284412506,1,0.3341914689496413,-1.20567998672063
2020/21,820,Nathan Coulter Nile,Australia,Right-hand bat,Right-arm fast-medium,6,13,11,11,21.5,172,260.5595238095238,30.415609819181885,2.1666666666666665,118.1818181818182,15.636363636363637,8.0,3.287785469188064,1,-0.9888624193645702,-0.9353044107389601
2020/21,827,James Faulkner,Australia,Right-hand bat,Left-arm fast-medium,5,44,34,8,17.4,132,234.4111428571429,28.37572687549436,8.8,129.41176470588235,16.5,7.586206896551725,3.524138797880849,1,-0.4732268395372409,-1.0592124164099084
2020/21,829,Mitchell Starc,Australia,Left-hand bat,Left-arm Fast,1,1,2,2,4.0,34,41.0,,1.0,50.0,17.0,8.5,0.0,0,-1.6821856609007193,-0.5074371110706123
2020/21,830,Josh Hazlewood,Australia,Left-hand bat,Right-arm fast-medium,1,0,0,0,4.0,39,6.25,,0.0,0.0,inf,9.75,0.0,0,-1.5289375472322686,0.817000107830056
2020/21,837,Usman Khawaja,Australia,Left-hand bat,Right-arm medium,15,338,265,0,0.0,0,541.0301000000001,27.19268946934784,22.53333333333333,127.54716981132074,inf,0.0,3.677458977079927,2,1.7045175224211913,0.3313209148358957
2020/21,838,Glenn Maxwell,Australia,Right-hand bat,Right-arm offbreak,22,550,368,10,37.5,298,1209.7635333333333,62.09626782282656,25.0,149.45652173913044,29.8,7.946666666666666,1.610402742485597,1,0.8027498961138697,-1.1683696993918855
2020/21,843,Chadwick Walton,West Indies,Right-hand bat,Right-arm Leg-Break,5,57,42,0,0.0,0,129.1235,29.458713995013422,11.4,135.71428571428572,inf,0.0,3.394581311897299,2,1.1693372696524889,0.4412713569065442
2020/21,853,Chris Lynn,Australia,Right-hand bat,Slow left-arm orthodox,13,458,296,0,0.0,0,871.2185999999999,39.35808038994547,35.23076923076923,154.72972972972974,inf,0.0,2.5407743215430365,2,2.6460199883155577,-0.06307802190248878
2020/21,985,Brendan Taylor,Zimbabwe,Right-hand bat,Right-arm offbreak,9,175,141,0,0.0,0,292.51210000000003,32.848288562842626,19.444444444444443,124.11347517730496,inf,0.0,3.044298633966524,2,1.5054469572770401,0.39187543814524084
2020/21,987,Elton Chigumbura,Zimbabwe,Right-hand bat,Right-arm fast-medium,3,41,38,0,0.0,0,82.64320000000001,23.797094548985037,13.666666666666666,107.89473684210526,inf,0.0,4.202193666716557,2,1.0414024214976527,0.6071537706007419
2020/21,1062,Jon Jon Smuts,South Africa,Right-hand bat,Slow left-arm orthodox,2,8,14,0,7.0,40,11.625033333333333,8.927199542254124,4.0,57.14285714285714,inf,5.714285714285714,11.201721158654635,0,-0.4567499879464906,0.8155938557239949
2020/21,1063,Colin Ingram,South Africa,Left-hand bat,Right-arm Leg-Break,10,258,203,0,0.0,0,401.9836,22.94868989193065,25.8,127.0935960591133,inf,0.0,4.357547226918717,2,1.878203114560253,0.2950530891202653
2020/21,1077,David Miller,South Africa,Left-hand bat,Right-arm offbreak,3,116,74,0,0.0,0,252.0515,98.01992867056848,38.66666666666666,156.75675675675674,inf,0.0,1.0202007015949406,2,2.8544930117541396,-0.15232141350465403
2020/21,1089,Shafiul Islam,Bangladesh,Right-hand bat,Right-arm fast-medium,2,0,0,2,7.0,51,60.25,45.43161069123568,0.0,0.0,25.5,7.285714285714286,2.201110602915324,0,-1.932352493606337,0.1708024854305689
2020/21,1100,Dinesh Chandimal,Sri Lanka,Right-hand bat,Right-arm offbreak,12,554,391,0,0.0,0,1038.42,116.22725076238282,46.16666666666666,141.68797953964193,inf,0.0,0.8603834242319117,2,3.129271519453115,-0.16707711871187866
2020/21,1107,Mohammad Nabi,Afghanistan,Right-hand bat,Right-arm offbreak,7,149,118,4,15.0,140,289.9885333333333,48.8707301888814,21.285714285714285,126.27118644067797,35.0,9.333333333333334,2.0462145667459466,1,0.36106469357764653,-0.915045849388128
2020/21,1109,Samiullah Shinwari,Afghanistan,Right-hand bat,Right-arm Leg-Break,4,70,39,0,1.0,13,148.1,58.00542359699364,17.5,179.4871794871795,inf,13.0,1.723976721466144,4,0.7590743296040153,-0.857376727531199
2020/21,1113,Imrul Kayes,Bangladesh,Left-hand bat,Slow left-arm orthodox,9,171,155,0,0.0,0,250.9505,20.751581495602,19.0,110.3225806451613,inf,0.0,4.81890982724346,2,1.3542446582994176,0.5189805609175059
2020/21,1114,Sohrawordi Shuvo,Bangladesh,Left-hand bat,Slow left-arm orthodox,2,0,1,4,7.0,45,82.66666666666667,32.99831645537222,0.0,0.0,11.25,6.428571428571429,3.030457633656632,0,-2.112972570064137,-0.10825814602049837
2020/21,1116,Craig Ervine,Zimbabwe,Left-hand bat,Right-arm offbreak,1,4,6,0,0.0,0,3.6668,,4.0,66.66666666666666,inf,0.0,0.0,2,0.14679151097232065,0.9687639763896231
2020/21,1121,Jahurul Islam,Bangladesh,Right-hand bat,Right-arm offbreak,10,254,209,0,0.0,0,445.7902,47.48169826347832,25.4,121.53110047846889,inf,0.0,2.1060746278512403,2,1.8094029504304245,0.30433302982016297
2020/21,1157,Chamu Chibhabha,Zimbabwe,Right-hand bat,Right-arm medium,3,46,39,0,0.0,0,67.3206,20.24117753664544,15.333333333333334,117.94871794871796,inf,0.0,4.940424035061992,2,1.2221827651492834,0.5251055339630512
2020/21,1159,Tendai Chatara,Zimbabwe,Right-hand bat,Right-arm fast-medium,1,0,0,1,3.0,25,15.666666666666666,,0.0,0.0,25.0,8.333333333333334,0.0,0,-2.0300800927102447,0.05361277077762828
2020/21,1183,Alex Hales,England,Right-hand bat,Right-arm medium,15,543,336,0,0.0,0,1128.4453999999998,72.59966180426409,36.2,161.60714285714286,inf,0.0,1.3774168848005095,2,2.7627317515268093,-0.1420989277698361
2020/21,1187,Jason Roy,England,Right-hand bat,Right-arm medium-fast,20,529,416,0,0.0,0,872.8055,35.89133600695409,26.45,127.16346153846156,inf,0.0,2.786187730114716,2,1.9166598007551987,0.2606715804345802
2020/21,1190,Danny Briggs,England,Right-hand bat,Slow left-arm orthodox,14,55,37,11,45.5,340,317.55400000000003,27.007211594812677,3.928571428571429,148.64864864864865,30.90909090909091,7.472527472527473,3.702714723026319,1,-0.29913303680986697,-0.7506704528849064
2020/21,1195,Ben Stokes,England,Left-hand bat,Right-arm fast-medium,8,137,96,5,17.0,146,311.8276666666667,39.64931890169332,17.125,142.70833333333331,29.2,8.588235294117647,2.5221114200710586,1,0.24264327870416547,-1.047328235192487
2020/21,1205,Jonny Bairstow,England,Right-hand bat,Right-arm medium,7,207,141,0,0.0,0,369.8414,56.60048317165466,29.571428571428573,146.80851063829786,inf,0.0,1.7667693700904603,2,2.266039350111999,0.06478623545655933
2020/21,1210,James Vince,England,Right-hand bat,Right-arm medium,16,537,374,0,0.0,0,951.2446,62.46748374572566,33.5625,143.58288770053477,inf,0.0,1.6008328494077129,2,2.4555892504169337,0.02329905806364914
2020/21,1318,Andre Russell,West Indies,Right-hand bat,Right-arm Fast,9,241,126,8,13.0,116,770.5837,68.94807935489293,26.77777777777778,191.2698412698413,14.5,8.923076923076923,1.450366724289376,1,0.9180917538655701,-1.922775707220775
2020/21,1327,Johnson Charles,West Indies,Right-hand bat,Right-arm medium,6,134,98,0,0.0,0,267.6032,45.14775552895921,22.33333333333333,136.73469387755102,inf,0.0,2.2149495324492223,2,1.7785055904025815,0.24991189047437376
2020/21,1382,Hamish Bennett,New Zealand,Left-hand bat,Right-arm medium-fast,4,0,0,3,9.7,101,48.66666666666666,23.58671942711265,0.0,0.0,33.666666666666664,10.41237113402062,4.239673953345593,0,-2.063780587480498,0.18986457228836656
2020/21,1389,Sean Abbott,Australia,Right-hand bat,Right-arm fast-medium,7,17,12,8,22.0,220,192.33333333333331,21.05475194261569,2.4285714285714284,141.66666666666669,27.5,10.0,4.749521641126336,1,-0.7284401370183875,-0.920328962864895
2020/21,1487,Adam Milne,New Zealand,Right-hand bat,Right-arm Fast,14,8,8,8,49.0,391,235.3333333333333,18.28786402770894,0.5714285714285714,100.0,48.875,7.979591836734694,5.468107147367486,4,-0.6473999180976092,0.0630823688392552
2020/21,1541,Sean Williams,Zimbabwe,Left-hand bat,Slow left-arm orthodox,2,38,34,0,2.0,22,29.9425,7.17183052818456,19.0,111.76470588235294,inf,11.0,13.943441581198863,4,0.3885923262355145,-0.09964055269739097
2020/21,1566,Mohammed Shami,India,Right-hand bat,Right-arm Fast,1,0,0,0,4.0,46,-4.5,,0.0,0.0,inf,11.5,0.0,0,-1.682545824241145,0.6979491655007805
2020/21,1568,Kane Williamson,New Zealand,Right-hand bat,Right-arm offbreak,7,140,113,0,0.0,0,249.7734,44.53038293055011,20.0,123.8938053097345,inf,0.0,2.2456577603646632,2,1.5350145956049885,0.3726979109952149
2020/21,1570,Wahab Riaz,Pakistan,Right-hand bat,Left-arm Fast,4,9,5,2,12.5,132,32.34285714285714,22.056412676046264,2.25,180.0,66.0,10.56,4.533828844642635,4,0.24657799296485544,-0.2723770999662694
2020/21,1600,Benny Howell,England,Right-hand bat,Right-arm medium-fast,2,0,2,0,5.0,36,4.333333333333332,14.377837884126466,0.0,0.0,inf,7.2,6.955148667408665,0,-1.3151059945029295,1.0967674641806247
2020/21,1612,Yuzvendra Chahal,India,Right-hand bat,Right-arm Leg-Break,6,0,0,7,24.0,236,118.0,22.34651352373937,0.0,0.0,33.714285714285715,9.833333333333334,4.4749710013495845,0,-2.0124420909769642,0.23402170578295142
2020/21,1634,Jonathan Wells,Australia,Right-hand bat,Right-arm Leg-Break,13,263,248,0,0.0,0,338.4844,25.286546982619647,20.23076923076923,106.0483870967742,inf,0.0,3.954672026541765,2,1.384300934854344,0.5159283191007151
2020/21,1664,Joe Burns,Australia,Right-hand bat,Right-arm medium,12,180,145,0,0.0,0,361.241,31.784617037000583,15.0,124.13793103448276,inf,0.0,3.146176022306314,2,1.2623205037094178,0.460923255350447
2020/21,1699,Suryakumar Yadav,India,Right-hand bat,Right-arm offbreak,3,89,48,0,0.0,0,224.0427,62.84131393685209,29.666666666666668,185.41666666666669,inf,0.0,1.591309820486693,2,2.6195735243511282,-0.20031458071531985
2020/21,1750,Michael Neser,Australia,Right-hand bat,Right-arm medium,4,3,9,4,12.0,91,102.3214,22.445797396980492,0.75,33.33333333333333,22.75,7.583333333333333,4.455176986202879,0,-1.6693066378702461,-0.11928055890846997
2020/21,1772,Sheldon Cottrell,West Indies,Right-hand bat,Left-arm fast-medium,2,2,6,1,8.2,69,25.964285714285715,15.58160299971785,1.0,33.33333333333333,69.0,8.414634146341465,6.417824918386818,0,-0.9048730663029948,0.9864695469800351
2020/21,1811,Nuwan Pradeep,Sri Lanka,Right-hand bat,Right-arm fast-medium,9,1,6,8,26.5,239,117.00601837187205,36.369837664587706,0.1111111111111111,16.666666666666664,29.875,9.0188679245283,2.749531106578658,0,-1.8507460932852013,0.05440039060004305
2020/21,1813,Deepak Chahar,India,Right-hand bat,Right-arm medium,3,0,0,1,12.0,111,16.25,15.260925048414771,0.0,0.0,111.0,9.25,6.552682729438311,4,-0.583037245761947,2.2039529666108515
2020/21,1836,Shuvagoto Hom,Bangladesh,Right-hand bat,Right-arm offbreak,7,72,39,10,16.2,109,416.4965666666667,48.74219018942159,10.285714285714286,184.6153846153846,10.9,6.728395061728396,2.051610721869096,1,0.08309134435063516,-1.5566843860278552
2020/21,1842,Lewis Gregory,England,Right-hand bat,Right-arm medium-fast,14,173,131,7,27.3,275,417.9987666738192,27.11152025759944,12.357142857142858,132.06106870229007,39.285714285714285,10.073260073260071,3.688468925750104,1,-0.06602694363181559,-0.7382273924186737
2020/21,1848,Suranga Lakmal,Sri Lanka,Right-hand bat,Right-arm medium-fast,7,27,20,8,19.0,139,219.2735,16.04560088429521,3.857142857142857,135.0,17.375,7.315789473684211,6.232237777886896,1,-0.6578392240201716,-0.9404651966919777
2020/21,1924,Sam Billings,England,Right-hand bat,Right-arm medium,10,260,182,0,0.0,0,521.5276,51.44260343773004,26.0,142.85714285714286,inf,0.0,1.943914057947076,2,2.034732325738901,0.14856907761713153
2020/21,1926,Dhammika Prasad,Sri Lanka,Right-hand bat,Right-arm fast-medium,2,7,6,1,4.3,57,11.819073913043477,5.292887942951806,3.5,116.66666666666669,57.0,13.255813953488373,18.89327737103588,4,-0.6741113391856262,-0.04833244928430094
